coherence_protocol,coherence_type,num_procs,access_pattern,diropt,total_hits,total_misses,total_evictions,hit_rate,total_traffic,cache_control_traffic,cache_data_traffic,memory_data_traffic,traffic_per_memory_op,data_to_total_traffic_ratio
MSI,SNOOP,64,random,False,117,6283,5917,0.01828125,420024,402112,17484,428,65.62875,0.04162619278898349
MSI,DIRECTORY,64,random,False,117,6283,5917,0.01828125,60764,48312,12138,314,9.494375,0.19975643473109078
MESI,SNOOP,64,random,False,117,6283,5917,0.01828125,420024,402112,17484,428,65.62875,0.04162619278898349
MESI,DIRECTORY,64,random,False,117,6283,5917,0.01828125,60764,48312,12138,314,9.494375,0.19975643473109078
MOESI,SNOOP,64,random,False,117,6283,5917,0.01828125,417380,402112,14878,390,65.215625,0.03564617375053908
MOESI,DIRECTORY,64,random,False,117,6283,5917,0.01828125,60764,48312,12138,314,9.494375,0.19975643473109078
MESIF,SNOOP,64,random,False,117,6283,5917,0.01828125,414678,402112,12138,428,64.7934375,0.0292709041714294
MI,SNOOP,128,random,False,68,12732,12575,0.0053125,1655160,1629696,25150,314,129.309375,0.01519490562845888
MI,DIRECTORY,128,random,False,99,12701,12336,0.007734375,125120,99820,24986,314,9.775,0.1996962915601023
MSI,SNOOP,128,random,False,99,12701,12336,0.007734375,1662896,1625728,36752,416,129.91375,0.022101201758859244
MSI,DIRECTORY,128,random,False,99,12701,12336,0.007734375,125120,99820,24986,314,9.775,0.1996962915601023
MESI,SNOOP,128,random,False,99,12701,12336,0.007734375,1662896,1625728,36752,416,129.91375,0.022101201758859244
MESI,DIRECTORY,128,random,False,99,12701,12336,0.007734375,125120,99820,24986,314,9.775,0.1996962915601023
MOESI,SNOOP,128,random,False,99,12701,12336,0.007734375,1657100,1625728,31004,368,129.4609375,0.018709794218816005
MOESI,DIRECTORY,128,random,False,99,12701,12336,0.007734375,125120,99820,24986,314,9.775,0.1996962915601023
MESIF,SNOOP,128,random,False,99,12701,12336,0.007734375,1651130,1625728,24986,416,128.99453125,0.015132666719155972
MI,SNOOP,4,no_sharing,False,360,40,0,0.9,240,160,0,80,0.6,0.0
MI,DIRECTORY,4,no_sharing,False,360,40,0,0.9,160,80,0,80,0.4,0.0
MSI,SNOOP,4,no_sharing,False,360,40,0,0.9,240,160,0,80,0.6,0.0
MSI,DIRECTORY,4,no_sharing,False,360,40,0,0.9,160,80,0,80,0.4,0.0
MESI,SNOOP,4,no_sharing,False,360,40,0,0.9,240,160,0,80,0.6,0.0
MESI,DIRECTORY,4,no_sharing,False,360,40,0,0.9,160,80,0,80,0.4,0.0
MOESI,SNOOP,4,no_sharing,False,360,40,0,0.9,240,160,0,80,0.6,0.0
MOESI,DIRECTORY,4,no_sharing,False,360,40,0,0.9,160,80,0,80,0.4,0.0
MESIF,SNOOP,4,no_sharing,False,360,40,0,0.9,240,160,0,80,0.6,0.0
MI,SNOOP,8,no_sharing,False,720,80,0,0.9,800,640,0,160,1.0,0.0
MI,DIRECTORY,8,no_sharing,False,720,80,0,0.9,320,160,0,160,0.4,0.0
MSI,SNOOP,8,no_sharing,False,720,80,0,0.9,800,640,0,160,1.0,0.0
MSI,DIRECTORY,8,no_sharing,False,720,80,0,0.9,320,160,0,160,0.4,0.0
MESI,SNOOP,8,no_sharing,False,720,80,0,0.9,800,640,0,160,1.0,0.0
MESI,DIRECTORY,8,no_sharing,False,720,80,0,0.9,320,160,0,160,0.4,0.0
MOESI,SNOOP,8,no_sharing,False,720,80,0,0.9,800,640,0,160,1.0,0.0
MOESI,DIRECTORY,8,no_sharing,False,720,80,0,0.9,320,160,0,160,0.4,0.0
MESIF,SNOOP,8,no_sharing,False,720,80,0,0.9,800,640,0,160,1.0,0.0
MI,SNOOP,16,no_sharing,False,1440,160,0,0.9,2880,2560,0,320,1.8,0.0
MI,DIRECTORY,16,no_sharing,False,1440,160,0,0.9,640,320,0,320,0.4,0.0
MSI,SNOOP,16,no_sharing,False,1440,160,0,0.9,2880,2560,0,320,1.8,0.0
MSI,DIRECTORY,16,no_sharing,False,1440,160,0,0.9,640,320,0,320,0.4,0.0
MESI,SNOOP,16,no_sharing,False,1440,160,0,0.9,2880,2560,0,320,1.8,0.0
MESI,DIRECTORY,16,no_sharing,False,1440,160,0,0.9,640,320,0,320,0.4,0.0
MOESI,SNOOP,16,no_sharing,False,1440,160,0,0.9,2880,2560,0,320,1.8,0.0
MOESI,DIRECTORY,16,no_sharing,False,1440,160,0,0.9,640,320,0,320,0.4,0.0
MESIF,SNOOP,16,no_sharing,False,1440,160,0,0.9,2880,2560,0,320,1.8,0.0
MI,SNOOP,32,no_sharing,False,2880,320,0,0.9,10880,10240,0,640,3.4,0.0
MI,DIRECTORY,32,no_sharing,False,2880,320,0,0.9,1280,640,0,640,0.4,0.0
MSI,SNOOP,32,no_sharing,False,2880,320,0,0.9,10880,10240,0,640,3.4,0.0
MSI,DIRECTORY,32,no_sharing,False,2880,320,0,0.9,1280,640,0,640,0.4,0.0
MESI,SNOOP,32,no_sharing,False,2880,320,0,0.9,10880,10240,0,640,3.4,0.0
MESI,DIRECTORY,32,no_sharing,False,2880,320,0,0.9,1280,640,0,640,0.4,0.0
MOESI,SNOOP,32,no_sharing,False,2880,320,0,0.9,10880,10240,0,640,3.4,0.0
MOESI,DIRECTORY,32,no_sharing,False,2880,320,0,0.9,1280,640,0,640,0.4,0.0
MESIF,SNOOP,32,no_sharing,False,2880,320,0,0.9,10880,10240,0,640,3.4,0.0
MI,SNOOP,64,no_sharing,False,5760,640,0,0.9,42240,40960,0,1280,6.6,0.0
MI,DIRECTORY,64,no_sharing,False,5760,640,0,0.9,2560,1280,0,1280,0.4,0.0
MSI,SNOOP,64,no_sharing,False,5760,640,0,0.9,42240,40960,0,1280,6.6,0.0
MSI,DIRECTORY,64,no_sharing,False,5760,640,0,0.9,2560,1280,0,1280,0.4,0.0
MESI,SNOOP,64,no_sharing,False,5760,640,0,0.9,42240,40960,0,1280,6.6,0.0
MESI,DIRECTORY,64,no_sharing,False,5760,640,0,0.9,2560,1280,0,1280,0.4,0.0
MOESI,SNOOP,64,no_sharing,False,5760,640,0,0.9,42240,40960,0,1280,6.6,0.0
MOESI,DIRECTORY,64,no_sharing,False,5760,640,0,0.9,2560,1280,0,1280,0.4,0.0
MESIF,SNOOP,64,no_sharing,False,5760,640,0,0.9,42240,40960,0,1280,6.6,0.0
MI,SNOOP,128,no_sharing,False,11520,1280,0,0.9,166400,163840,0,2560,13.0,0.0
MI,DIRECTORY,128,no_sharing,False,11520,1280,0,0.9,5120,2560,0,2560,0.4,0.0
MSI,SNOOP,128,no_sharing,False,11520,1280,0,0.9,166400,163840,0,2560,13.0,0.0
MSI,DIRECTORY,128,no_sharing,False,11520,1280,0,0.9,5120,2560,0,2560,0.4,0.0
MESI,SNOOP,128,no_sharing,False,11520,1280,0,0.9,166400,163840,0,2560,13.0,0.0
MESI,DIRECTORY,128,no_sharing,False,11520,1280,0,0.9,5120,2560,0,2560,0.4,0.0
MOESI,SNOOP,128,no_sharing,False,11520,1280,0,0.9,166400,163840,0,2560,13.0,0.0
MOESI,DIRECTORY,128,no_sharing,False,11520,1280,0,0.9,5120,2560,0,2560,0.4,0.0
MESIF,SNOOP,128,no_sharing,False,11520,1280,0,0.9,166400,163840,0,2560,13.0,0.0
